start,end,subtitle
00:02.0,00:09.3,強くなれる理由を知った
00:09.5,00:14.0,僕を連れて進め
00:21.0,00:28.0,泥だらけの走馬灯に酔う こわばる心
00:28.3,00:35.0,震える手は掴みたいものがある　それだけさ
00:35.0,00:38.5,夜の匂いに
00:38.8,00:42.0,空睨んでも
00:42.5,00:46.5,変わっていけるのは自分自身だけ
00:47.8,00:49.0,それだけさ
00:50.0,00:55.0,強くなれる理由を知った
00:56.0,01:01.0,僕を連れて進め
01:03.0,01:04.0,どうしたって！
01:04.0,01:07.0,消せない夢も　止まれない今も
01:08.0,01:11.0,誰かのために強くなれるなら
01:12.3,01:15.0,ありがとう　悲しみよ
01:17.5,01:21.5,世界に打ちのめされて負ける意味を知った
01:22.0,01:29.0,紅蓮の華よ咲き誇れ！運命を照らして
01:36.5,01:43.5,イナビカリの雑音が耳を刺す　戸惑う心
01:44.0,01:51.0,優しいだけじゃ守れないものがある？　わかってるけど
01:51.5,01:53.0,水面下で絡まる善悪
01:53.3,01:54.7,透けて見える偽善に天罰
01:55.5,01:58.5,"Tell me why, tell me why, tell me why, tell me... I don't need you!"
01:58.5,02:03.5,逸材の花より 挑み続け咲いた一輪が美しい
02:05.0,02:08.7,乱暴に敷き詰められた　トゲだらけの道も
02:09.3,02:16.0,本気の僕だけに現れるから　乗り越えてみせるよ！
02:18.5,02:23.0,簡単に片付けられた　守れなかった夢も
02:23.5,02:31.0,紅蓮の心臓に根を生やし　この血に宿って
02:45.5,02:52.6,人知れず儚い　散りゆく結末
02:53.0,03:00.0,無常に破れた　悲鳴の風吹く
03:00.0,03:07.7,誰かの笑う影　誰かの泣き声
03:08.0,03:12.5,誰もが幸せを願ってる
03:14.0,03:15.0,どうしたって！
03:15.3,03:18.3,消せない夢も　止まれない今も
03:18.5,03:22.0,誰かのために強くなれるなら
03:23.0,03:26.0,ありがとう　悲しみよ
03:28.0,03:32.3,世界に打ちのめされて負ける意味を知った
03:33.0,03:40.0,紅蓮の華よ咲き誇れ！運命を照らして
03:48.0,03:51.7,運命を照らして
